Less.Than.High.School,At.Least.High.School.Diploma,At.Least.Bachelor.s.Degree,Adults.65.and.Older.Living.in.Poverty
8.6,91.4,24.0,5.65
14.3,85.7,18.7,6.45
13.3,86.7,22.6,12.6
10.4,89.6,16.6,8.35
12.4,87.6,14.7,7.1
11.7,88.3,15.1,10.55
12.3,87.7,17.6,6.65
15.7,84.3,19.8,6.85
11.2,88.8,19.3,8.95
13.5,86.5,16.3,9.45
12.5,87.5,16.7,8.4
12.8,87.2,16.1,11.55
8.8,91.2,19.8,6.3
8.3,91.7,16.4,8.0
9.1,90.9,32.8,5.9
11.5,88.5,17.3,7.9
7.9,92.1,21.7,8.05
9.7,90.3,20.8,12.5
10.7,89.3,18.2,6.4
9.5,90.5,29.7,5.75
9.4,90.6,16.1,9.85
13.5,86.5,22.4,7.2
4.7,95.3,47.2,6.15
11.9,88.1,16.5,7.85
12.7,87.3,12.3,11.9
10.6,89.4,15.6,11.25
13.9,86.1,13.5,15.75
16.3,83.7,14.9,10.65
5.4,94.6,26.7,4.8
10.9,89.1,19.4,9.75
15.6,84.4,10.8,11.95
11.7,88.3,18.0,8.0
10.1,89.9,19.3,10.3
8.8,91.2,26.3,9.35
14.6,85.4,20.8,8.15
10.2,89.8,16.0,5.35
11.3,88.7,15.7,9.3
10.7,89.3,17.7,9.9
12.7,87.3,15.9,4.6
12.2,87.8,22.3,8.6
8.2,91.8,18.7,5.0
14.4,85.6,20.5,9.9
13.5,86.5,20.4,12.55
11.7,88.3,16.3,11.05
8.1,91.9,24.8,5.85
9.6,90.4,18.8,10.5
13.0,87.0,17.0,6.7
13.4,86.6,14.5,11.6
13.5,86.5,16.4,12.2
8.3,91.7,19.7,8.85
8.8,91.2,18.9,6.45
10.9,89.1,15.2,12.4
8.5,91.5,20.0,10.35
7.3,92.7,16.4,12.65
13.5,86.5,19.5,8.15
11.8,88.2,26.3,10.35
8.9,91.1,17.6,5.35
9.8,90.2,19.9,11.2
13.1,86.9,16.3,7.9
4.9,95.1,48.3,6.4
17.1,82.9,21.1,9.55
12.2,87.8,17.1,8.9
8.3,91.7,33.6,9.0
9.4,90.6,19.8,14.6
30.2,69.8,17.3,7.6
30.5,69.5,17.2,7.8
9.9,90.1,18.5,7.75
8.9,91.1,19.4,9.0
9.0,91.0,16.9,8.45
8.4,91.6,24.2,7.5
22.4,77.6,15.9,5.65
25.3,74.7,19.8,4.25
10.0,90.0,20.7,12.0
9.5,90.5,14.6,10.25
19.1,80.9,14.9,2.4
14.0,86.0,16.3,8.85
9.6,90.4,25.5,5.35
22.8,77.2,14.8,5.85
8.9,91.1,22.9,3.65
7.8,92.2,17.7,12.05
8.2,91.8,22.2,4.45
9.3,90.7,18.9,12.35
4.4,95.6,51.1,4.75
24.1,75.9,12.3,2.1
11.3,88.7,20.2,6.8
10.3,89.7,20.9,4.25
13.8,86.2,17.8,12.3
12.2,87.8,22.2,14.45
8.6,91.4,28.8,8.9
11.5,88.5,17.1,7.95
13.2,86.8,13.5,11.05
8.6,91.4,18.0,11.3
16.4,83.6,23.5,10.85
11.9,88.1,25.1,5.35
10.2,89.8,19.5,6.95
11.3,88.7,12.7,10.4
14.1,85.9,20.9,9.45
7.6,92.4,23.0,7.95
8.1,91.9,20.8,9.85
13.6,86.4,18.6,7.7
9.9,90.1,16.6,13.35
11.0,89.0,19.1,4.9
11.0,89.0,17.1,12.25
12.9,87.1,16.2,13.75
9.2,90.8,18.9,6.85
10.4,89.6,17.3,7.1
8.9,91.1,19.4,8.05
12.7,87.3,18.0,13.75
9.3,90.7,19.6,6.0
12.0,88.0,16.9,7.7
10.3,89.7,17.1,7.9
7.3,92.7,28.4,8.9
10.5,89.5,22.7,8.2
8.3,91.7,19.8,9.15
12.3,87.7,18.8,7.15
5.0,95.0,18.6,6.05
12.0,88.0,20.9,6.8
5.8,94.2,42.3,6.15
9.6,90.4,20.4,11.5
12.7,87.3,16.2,13.05
9.9,90.1,20.4,9.45
11.7,88.3,23.6,6.25
10.6,89.4,20.3,8.6
12.3,87.7,27.5,8.7
32.4,67.6,13.5,8.75
10.0,90.0,28.9,7.35
7.4,92.6,21.8,6.35
9.9,90.1,19.1,10.8
12.0,88.0,14.9,11.8
12.3,87.7,20.7,11.05
29.5,70.5,14.2,10.75
21.0,79.0,13.9,11.35
9.3,90.7,18.7,8.15
13.2,86.8,23.4,10.05
11.3,88.7,22.2,11.15
5.8,94.2,21.8,11.35
13.0,87.0,23.4,7.25
13.0,87.0,18.2,13.0
19.3,80.7,15.9,3.0
17.7,82.3,10.7,12.1
9.7,90.3,12.8,9.8
21.4,78.6,15.2,12.4
31.3,68.7,14.4,29.2
26.4,73.6,10.6,11.7
12.8,87.2,17.3,6.55
18.8,81.2,10.7,15.25
23.0,77.0,15.0,21.0
27.8,72.2,13.2,26.7
34.0,66.0,11.3,20.55
9.5,90.5,28.2,7.6
18.1,81.9,17.4,10.35
16.1,83.9,15.8,9.35
17.4,82.6,23.3,10.4
26.0,74.0,11.6,13.95
37.4,62.6,10.4,24.6
23.9,76.1,7.8,14.95
16.8,83.2,11.1,8.6
27.4,72.6,7.8,20.4
17.6,82.4,14.0,18.95
14.6,85.4,28.2,8.5
13.1,86.9,26.3,8.3
21.1,78.9,10.6,16.0
25.0,75.0,9.3,21.0
27.5,72.5,10.2,17.7
33.6,66.4,9.5,23.85
16.0,84.0,13.7,9.75
18.6,81.4,17.7,13.55
41.1,58.9,7.5,29.45
42.5,57.5,3.7,28.05
24.7,75.3,9.3,17.8
29.5,70.5,7.9,23.9
13.3,86.7,18.2,9.75
23.7,76.3,7.2,19.55
30.4,69.6,7.1,27.1
33.0,67.0,6.6,20.1
11.7,88.3,39.1,8.9
25.3,74.7,12.7,19.7
31.1,68.9,11.7,13.05
14.5,85.5,27.2,8.2
22.4,77.6,10.9,16.35
28.7,71.3,9.0,14.95
21.2,78.8,13.8,17.05
20.6,79.4,10.8,8.1
20.7,79.3,14.4,13.95
27.8,72.2,7.5,18.45
26.6,73.4,11.4,19.65
19.9,80.1,14.9,9.8
15.9,84.1,10.8,17.7
12.6,87.4,18.5,8.05
31.6,68.4,11.1,18.05
20.8,79.2,13.8,17.15
32.3,67.7,9.2,25.85
16.5,83.5,16.1,9.1
20.0,80.0,14.1,11.85
24.2,75.8,16.5,15.1
22.2,77.8,13.2,10.5
38.2,61.8,6.2,28.75
13.1,86.9,28.5,9.0
14.8,85.2,27.4,6.75
32.2,67.8,10.5,18.85
13.0,87.0,27.5,7.55
32.9,67.1,12.4,16.5
37.2,62.8,8.5,26.3
23.2,76.8,12.1,12.6
25.8,74.2,13.6,16.0
30.0,70.0,8.2,17.6
34.7,65.3,7.8,21.15
43.2,56.8,8.1,20.9
29.0,71.0,11.7,22.55
33.8,66.2,11.6,25.9
27.5,72.5,10.4,25.6
20.9,79.1,10.7,15.2
25.8,74.2,10.3,14.7
18.8,81.2,10.8,9.75
14.8,85.2,21.0,9.7
35.3,64.7,8.0,21.95
22.7,77.3,9.7,11.9
16.2,83.8,27.4,7.85
34.5,65.5,10.5,24.75
21.6,78.4,11.4,22.85
16.8,83.2,14.8,7.75
35.4,64.6,8.9,19.15
22.1,77.9,14.3,13.85
15.0,85.0,11.5,10.85
31.2,68.8,10.3,20.95
17.7,82.3,17.0,10.25
32.4,67.6,7.2,19.8
25.4,74.6,11.6,29.45
24.3,75.7,15.1,18.95
31.2,68.8,11.8,14.3
23.5,76.5,10.2,11.05
16.2,83.8,15.4,14.25
24.3,75.7,9.4,20.5
26.2,73.8,9.4,15.3
10.4,89.6,37.0,9.3
18.7,81.3,18.6,14.85
42.3,57.7,5.9,42.7
22.1,77.9,10.5,11.3
31.3,68.7,11.9,20.25
28.8,71.2,12.0,13.75
29.2,70.8,10.4,29.65
23.9,76.1,14.5,17.0
30.4,69.6,7.4,26.85
31.5,68.5,11.6,29.9
23.5,76.5,24.7,21.65
27.7,72.3,12.7,23.2
13.5,86.5,26.3,9.25
16.9,83.1,23.2,7.65
18.9,81.1,15.6,14.15
16.3,83.7,16.6,9.25
26.3,73.7,14.9,14.55
27.2,72.8,10.0,20.6
17.4,82.6,15.8,6.3
21.0,79.0,13.1,11.25
17.5,82.5,12.4,16.95
15.3,84.7,27.5,8.2
19.4,80.6,12.8,17.15
32.8,67.2,9.0,27.35
25.6,74.4,8.5,13.05
29.8,70.2,11.9,20.45
42.8,57.2,7.6,21.55
11.6,88.4,33.1,4.4
30.5,69.5,10.9,19.6
28.2,71.8,9.1,16.4
13.4,86.6,21.9,10.0
30.8,69.2,8.5,15.95
31.9,68.1,10.2,20.9
16.5,83.5,14.8,11.85
20.8,79.2,12.8,16.0
13.3,86.7,21.6,7.0
15.7,84.3,22.0,13.5
18.4,81.6,19.2,11.35
23.8,76.2,11.7,21.8
18.4,81.6,11.7,10.8
32.1,67.9,10.5,24.5
25.3,74.7,11.3,15.75
30.1,69.9,11.0,26.15
20.8,79.2,13.6,16.4
12.7,87.3,32.9,9.8
37.8,62.2,8.3,31.35
21.7,78.3,12.4,20.65
33.8,66.2,10.7,20.8
30.5,69.5,11.3,18.5
20.2,79.8,11.8,12.85
25.2,74.8,13.4,11.95
27.3,72.7,11.0,20.0
17.7,82.3,13.5,12.15
17.6,82.4,23.2,9.2
24.5,75.5,11.6,15.1
15.8,84.2,27.6,12.75
27.9,72.1,14.3,10.5
23.0,77.0,13.1,14.5
15.5,84.5,31.8,9.8
16.5,83.5,16.4,9.3
27.2,72.8,10.9,31.3
26.8,73.2,11.1,21.9
21.3,78.7,21.2,18.9
16.6,83.4,31.6,15.05
15.9,84.1,23.5,12.9
19.7,80.3,17.4,11.0
24.4,75.6,15.3,18.8
17.9,82.1,19.4,12.75
25.5,74.5,12.5,15.95
26.2,73.8,12.2,19.25
20.4,79.6,11.6,14.5
20.7,79.3,9.9,7.35
15.5,84.5,19.7,14.15
23.4,76.6,11.1,24.05
17.8,82.2,12.4,13.7
18.5,81.5,15.8,13.15
27.0,73.0,12.5,25.75
25.9,74.1,11.6,16.7
30.1,69.9,10.4,15.5
12.0,88.0,30.1,9.15
20.9,79.1,19.7,13.65
28.6,71.4,12.9,23.7
27.0,73.0,13.8,11.55
19.7,80.3,13.8,19.4
24.0,76.0,11.7,16.95
15.5,84.5,15.6,11.9
22.5,77.5,11.8,20.7
24.5,75.5,13.5,14.15
19.1,80.9,16.5,14.1
29.3,70.7,9.8,18.0
34.9,65.1,12.8,10.9
27.4,72.6,11.2,13.4
13.6,86.4,18.4,12.15
16.1,83.9,16.2,12.5
6.7,93.3,39.5,7.6
12.3,87.7,24.5,10.1
9.0,91.0,30.1,7.1
9.7,90.3,24.1,9.6
10.3,89.7,26.9,10.05
7.6,92.4,31.6,10.4
12.5,87.5,18.5,12.15
10.5,89.5,23.3,9.7
11.7,88.3,15.0,12.9
8.2,91.8,29.6,6.9
13.4,86.6,15.3,12.05
10.0,90.0,23.1,12.4
14.8,85.2,19.0,12.65
9.9,90.1,26.7,8.0
14.9,85.1,15.9,8.75
10.0,90.0,35.7,5.35
11.2,88.8,35.2,7.5
8.1,91.9,29.0,5.35
18.4,81.6,15.2,11.65
10.5,89.5,31.1,6.15
13.3,86.7,20.9,7.6
9.6,90.4,26.1,4.95
19.0,81.0,16.5,9.65
8.6,91.4,35.8,5.55
15.7,84.3,17.5,13.15
9.0,91.0,30.5,5.75
5.4,94.6,58.3,5.5
14.0,86.0,30.2,8.1
9.0,91.0,56.7,6.25
14.2,85.8,29.6,6.85
10.3,89.7,29.6,6.55
11.0,89.0,27.4,8.1
19.1,80.9,14.3,13.85
12.0,88.0,32.7,5.05
16.6,83.4,18.7,9.15
15.7,84.3,24.7,8.6
11.6,88.4,26.1,6.9
22.6,77.4,25.2,17.8
5.3,94.7,40.5,5.35
9.8,90.2,29.6,7.85
19.9,80.1,24.7,10.15
6.5,93.5,40.0,8.4
11.8,88.2,36.1,9.5
8.9,91.1,32.5,7.95
16.8,83.2,23.8,11.15
7.6,92.4,41.3,8.1
8.4,91.6,49.3,8.0
6.6,93.4,40.2,8.3
6.9,93.1,47.4,6.9
8.2,91.8,32.5,7.2
16.9,83.1,38.9,18.85
11.4,88.6,32.9,9.25
15.7,84.3,12.4,8.15
13.8,86.2,16.9,9.0
11.1,88.9,19.4,7.45
12.4,87.6,15.5,9.9
10.5,89.5,23.3,5.0
18.6,81.4,10.6,10.35
17.8,82.2,11.4,9.4
9.5,90.5,16.6,4.95
12.6,87.4,18.0,8.35
10.1,89.9,25.2,5.45
13.4,86.6,23.3,9.2
13.4,86.6,14.1,10.3
12.9,87.1,18.8,8.35
14.8,85.2,15.8,7.25
8.9,91.1,24.5,6.0
11.8,88.2,17.8,6.7
12.0,88.0,18.0,9.3
17.4,82.6,10.3,8.55
7.0,93.0,27.2,5.7
15.7,84.3,14.1,8.2
9.4,90.6,18.7,7.6
7.8,92.2,17.9,8.35
7.6,92.4,24.3,6.45
7.2,92.8,29.5,8.1
11.9,88.1,19.0,6.8
15.8,84.2,11.1,8.2
9.8,90.2,18.6,10.65
7.2,92.8,28.9,6.1
13.0,87.0,13.5,10.5
13.4,86.6,14.2,7.2
10.1,89.9,26.9,11.2
15.4,84.6,13.8,9.5
9.3,90.7,35.5,9.65
13.3,86.7,13.1,9.3
15.6,84.4,13.6,7.5
11.7,88.3,15.1,8.85
10.8,89.2,25.8,6.0
12.0,88.0,17.5,7.6
8.3,91.7,33.4,7.85
15.2,84.8,11.6,7.3
11.7,88.3,29.9,6.95
9.2,90.8,22.0,6.75
20.3,79.7,8.5,10.55
10.9,89.1,17.0,8.6
7.3,92.7,39.4,5.05
12.1,87.9,19.2,7.75
6.4,93.6,31.2,7.25
17.4,82.6,13.5,11.6
10.9,89.1,20.1,6.65
12.4,87.6,21.8,7.2
13.1,86.9,16.8,8.7
8.3,91.7,29.7,9.95
11.9,88.1,19.4,8.2
12.3,87.7,20.1,6.8
10.7,89.3,13.4,10.9
8.6,91.4,32.2,7.1
14.4,85.6,12.9,7.55
12.3,87.7,17.0,6.15
15.0,85.0,12.7,10.95
16.1,83.9,10.6,8.0
12.3,87.7,16.5,8.4
14.8,85.2,13.2,8.3
7.8,92.2,42.2,7.35
17.3,82.7,14.3,9.5
18.7,81.3,10.7,9.8
9.7,90.3,16.5,9.85
14.8,85.2,11.9,11.0
19.4,80.6,8.9,10.95
10.8,89.2,19.4,7.35
9.5,90.5,28.8,5.2
14.7,85.3,14.3,7.15
16.3,83.7,13.6,7.55
13.4,86.6,18.0,8.35
12.2,87.8,15.0,6.65
15.8,84.2,14.0,11.25
14.8,85.2,11.0,10.2
13.5,86.5,13.2,9.75
10.7,89.3,14.9,6.7
15.2,84.8,12.4,8.9
15.2,84.8,18.3,11.9
6.4,93.6,50.8,5.95
16.8,83.2,20.2,11.65
12.6,87.4,16.4,9.25
11.9,88.1,14.4,9.05
7.2,92.8,25.7,5.8
10.0,90.0,21.3,8.7
11.0,89.0,29.1,10.5
9.8,90.2,19.6,11.15
11.8,88.2,16.0,7.55
7.0,93.0,30.1,9.65
11.6,88.4,18.5,9.4
9.7,90.3,21.4,7.5
5.2,94.8,42.7,8.4
10.4,89.6,20.2,7.95
12.9,87.1,15.8,12.3
9.0,91.0,17.0,7.9
7.6,92.4,31.5,7.05
15.6,84.4,14.5,16.1
7.0,93.0,32.9,4.25
15.1,84.9,15.7,7.6
8.7,91.3,22.0,9.0
5.6,94.4,38.1,5.15
10.0,90.0,21.9,13.1
8.8,91.2,21.4,8.75
11.0,89.0,15.3,11.9
13.3,86.7,19.3,12.85
14.2,85.8,13.8,8.9
9.8,90.2,22.7,7.7
14.2,85.8,18.1,15.05
7.9,92.1,44.0,7.25
8.9,91.1,22.0,11.15
8.9,91.1,23.3,7.0
9.2,90.8,16.0,6.3
7.7,92.3,20.8,6.7
9.5,90.5,16.2,10.05
12.9,87.1,13.9,11.95
11.9,88.1,21.0,7.55
11.4,88.6,19.1,10.85
11.0,89.0,16.3,10.25
11.6,88.4,16.2,9.35
6.5,93.5,20.1,8.4
10.4,89.6,18.6,5.6
11.0,89.0,21.2,9.1
10.2,89.8,17.8,12.95
11.8,88.2,25.7,10.05
10.6,89.4,18.3,8.0
16.4,83.6,13.5,11.05
14.6,85.4,16.0,13.7
13.1,86.9,17.5,8.55
11.3,88.7,15.7,8.1
12.3,87.7,14.8,12.2
13.4,86.6,14.5,17.55
15.2,84.8,15.9,10.5
12.2,87.8,15.0,9.4
7.9,92.1,33.6,8.5
21.5,78.5,16.0,12.15
12.4,87.6,14.9,12.55
5.7,94.3,39.1,6.6
11.8,88.2,19.7,11.2
12.5,87.5,15.4,16.65
14.1,85.9,12.9,10.1
14.3,85.7,15.4,13.4
13.2,86.8,20.6,8.85
10.2,89.8,18.4,10.55
10.1,89.9,38.9,8.85
13.3,86.7,13.0,11.65
13.4,86.6,16.4,11.6
14.1,85.9,16.0,11.25
9.8,90.2,27.1,7.5
11.0,89.0,16.8,10.6
12.5,87.5,16.4,11.35
7.9,92.1,25.6,7.25
6.1,93.9,36.0,5.8
7.0,93.0,24.2,9.15
13.5,86.5,13.4,10.1
10.1,89.9,23.6,11.1
10.6,89.4,22.0,8.4
10.3,89.7,23.5,5.45
13.0,87.0,15.2,11.7
14.2,85.8,12.2,12.4
11.9,88.1,14.7,9.35
9.8,90.2,17.9,10.25
12.3,87.7,14.8,20.85
9.5,90.5,18.3,7.95
4.3,95.7,40.0,5.3
20.4,79.6,15.0,9.45
12.0,88.0,18.4,8.35
11.2,88.8,25.1,9.8
7.0,93.0,23.8,7.15
9.9,90.1,18.4,5.95
20.4,79.6,19.3,20.05
22.9,77.1,16.0,13.75
26.0,74.0,9.2,20.85
28.1,71.9,17.1,21.1
30.9,69.1,9.6,27.05
28.5,71.5,20.4,20.95
32.6,67.4,10.1,24.2
23.7,76.3,16.4,14.05
28.2,71.8,11.2,17.95
19.3,80.7,10.9,22.8
16.4,83.6,17.5,25.95
24.9,75.1,8.3,21.7
21.6,78.4,18.1,18.45
25.8,74.2,14.3,22.85
23.5,76.5,14.1,15.05
21.2,78.8,15.8,24.3
12.6,87.4,21.1,7.1
15.8,84.2,25.9,11.1
21.6,78.4,13.2,9.25
16.4,83.6,11.0,11.75
26.7,73.3,8.3,14.0
26.1,73.9,18.6,23.45
16.8,83.2,21.7,9.35
16.5,83.5,20.0,9.6
16.4,83.6,27.2,14.2
32.7,67.3,11.2,39.05
37.1,62.9,11.5,28.6
40.3,59.7,4.3,21.7
28.6,71.4,12.4,18.0
15.4,84.6,18.4,9.45
23.1,76.9,11.6,26.3
23.4,76.6,20.5,31.05
26.7,73.3,11.9,13.3
22.9,77.1,15.8,15.6
32.5,67.5,8.9,24.5
14.6,85.4,39.3,12.05
13.1,86.9,31.8,12.7
18.4,81.6,18.8,13.4
20.5,79.5,11.8,16.05
26.1,73.9,9.6,21.9
19.0,81.0,20.9,12.1
31.2,68.8,16.6,26.0
18.5,81.5,17.2,14.05
19.5,80.5,20.1,14.25
12.1,87.9,42.6,11.1
25.7,74.3,12.5,21.9
30.7,69.3,10.2,16.9
24.8,75.2,13.2,17.65
25.4,74.6,16.3,18.85
26.2,73.8,12.4,16.85
18.7,81.3,12.7,9.5
34.0,66.0,13.1,23.9
15.5,84.5,39.9,10.6
27.6,72.4,12.5,23.4
19.6,80.4,14.6,11.5
20.8,79.2,10.0,19.6
22.5,77.5,15.7,18.7
24.0,76.0,11.4,20.55
26.8,73.2,11.8,22.75
36.4,63.6,11.0,23.4
12.6,87.4,28.0,6.9
29.2,70.8,10.3,16.3
29.4,70.6,17.8,21.3
24.0,76.0,14.3,18.75
22.7,77.3,14.8,13.35
21.0,79.0,13.5,16.1
30.2,69.8,13.0,32.85
34.5,65.5,9.0,31.3
20.3,79.7,14.1,12.05
27.4,72.6,10.4,14.65
24.3,75.7,10.7,16.95
27.6,72.4,14.6,19.9
25.3,74.7,14.5,15.65
26.7,73.3,14.0,25.3
17.1,82.9,24.4,17.45
27.5,72.5,17.6,20.45
27.2,72.8,11.3,20.5
23.6,76.4,17.2,19.0
31.1,68.9,9.0,14.2
21.7,78.3,14.7,14.85
24.6,75.4,12.3,15.0
26.4,73.6,11.9,25.4
11.9,88.1,25.5,13.4
10.4,89.6,20.5,11.85
14.1,85.9,21.0,16.85
18.8,81.2,14.0,11.55
20.3,79.7,12.4,10.9
15.2,84.8,13.2,14.7
16.9,83.1,11.7,9.7
19.5,80.5,12.5,9.75
24.9,75.1,10.1,19.75
8.1,91.9,45.2,4.7
13.8,86.2,19.4,8.8
23.8,76.2,14.1,15.2
14.2,85.8,11.8,7.9
14.9,85.1,20.4,6.85
9.8,90.2,21.0,4.55
14.2,85.8,26.9,7.6
15.9,84.1,17.9,11.85
24.3,75.7,11.1,22.25
8.4,91.6,21.4,4.45
16.9,83.1,11.9,10.45
15.3,84.7,14.2,22.6
8.3,91.7,26.9,7.25
15.7,84.3,12.9,9.35
8.6,91.4,30.2,5.75
9.8,90.2,17.6,9.95
11.1,88.9,30.5,8.3
17.3,82.7,15.7,10.4
22.3,77.7,10.8,11.4
18.0,82.0,9.1,12.9
20.5,79.5,10.7,10.85
16.0,84.0,14.4,12.1
17.4,82.6,12.0,12.15
24.0,76.0,11.2,13.35
20.7,79.3,10.2,18.15
32.5,67.5,10.1,16.95
15.0,85.0,16.5,7.1
18.1,81.9,14.1,10.45
17.5,82.5,12.0,16.55
11.4,88.6,27.5,8.1
16.3,83.7,12.8,18.5
15.4,84.6,7.6,14.15
16.3,83.7,15.1,12.75
21.1,78.9,8.1,9.1
11.3,88.7,16.3,11.85
14.4,85.6,21.6,12.35
17.6,82.4,14.1,15.65
24.8,75.2,9.1,14.4
12.7,87.3,26.9,9.15
18.7,81.3,18.6,10.1
14.5,85.5,16.1,7.3
9.3,90.7,24.1,6.7
13.7,86.3,13.9,7.5
18.9,81.1,13.0,11.0
15.0,85.0,15.9,9.2
19.5,80.5,13.3,12.5
15.6,84.4,13.0,10.7
16.9,83.1,11.9,4.2
12.1,87.9,14.3,17.7
14.9,85.1,19.0,20.85
23.4,76.6,8.9,13.1
17.9,82.1,15.0,14.05
24.4,75.6,10.7,14.2
20.4,79.6,14.2,10.8
16.1,83.9,16.9,11.5
12.7,87.3,14.2,15.9
17.4,82.6,11.9,16.1
33.8,66.2,10.5,19.7
19.6,80.4,17.1,9.25
15.4,84.6,11.9,11.3
21.7,78.3,12.2,7.35
21.3,78.7,11.8,9.35
26.8,73.2,12.2,17.45
15.1,84.9,18.3,7.5
11.6,88.4,23.7,11.7
23.2,76.8,10.2,22.5
14.0,86.0,13.2,12.6
21.3,78.7,11.1,12.3
29.9,70.1,9.8,22.8
19.5,80.5,12.2,8.2
18.7,81.3,15.8,11.25
14.1,85.9,25.3,9.1
20.5,79.5,12.6,8.9
5.9,94.1,36.9,5.75
20.5,79.5,16.6,15.0
11.9,88.1,18.4,13.9
14.2,85.8,15.6,14.35
15.5,84.5,16.1,8.2
17.8,82.2,11.7,11.55
13.9,86.1,13.5,8.2
27.2,72.8,6.7,5.6
29.4,70.6,12.2,12.45
7.8,92.2,33.4,3.85
17.1,82.9,14.1,17.8
18.9,81.1,11.6,9.3
20.8,79.2,14.8,9.5
9.3,90.7,39.1,6.15
20.2,79.8,17.7,12.45
13.0,87.0,9.6,18.2
18.5,81.5,17.8,22.3
24.2,75.8,13.7,17.6
23.6,76.4,13.7,13.85
11.4,88.6,13.4,13.5
25.0,75.0,11.7,15.4
16.6,83.4,16.8,6.95
19.1,80.9,9.9,16.0
13.4,86.6,20.0,7.8
20.6,79.4,11.8,16.05
15.9,84.1,14.3,14.85
17.0,83.0,16.9,6.8
29.7,70.3,7.7,16.6
27.1,72.9,8.7,16.3
17.8,82.2,14.7,12.3
14.5,85.5,12.8,15.95
23.7,76.3,11.3,14.3
19.4,80.6,26.9,17.6
8.2,91.8,30.4,8.1
16.4,83.6,12.6,16.95
14.6,85.4,17.2,11.25
10.2,89.8,15.2,6.15
8.7,91.3,28.5,11.15
8.9,91.1,15.2,9.15
9.2,90.8,23.9,8.95
9.8,90.2,22.5,7.7
8.8,91.2,19.2,12.1
5.4,94.6,19.7,7.55
10.4,89.6,18.4,9.2
14.9,85.1,18.8,7.6
11.9,88.1,15.7,3.3
10.9,89.1,23.0,11.5
7.9,92.1,26.7,7.75
4.0,96.0,45.0,7.65
8.9,91.1,14.1,10.45
21.2,78.8,15.6,14.8
13.3,86.7,23.7,6.05
9.2,90.8,23.9,13.15
8.6,91.4,20.4,9.65
7.8,92.2,32.0,7.35
8.7,91.3,28.5,9.4
10.7,89.3,25.2,9.9
5.6,94.4,34.7,5.15
27.0,73.0,17.0,16.1
14.3,85.7,16.4,13.7
9.0,91.0,18.6,11.2
5.4,94.6,33.8,8.65
17.7,82.3,15.8,14.95
17.0,83.0,13.6,4.1
7.4,92.6,38.4,8.6
13.7,86.3,13.4,8.95
10.6,89.4,31.4,10.55
7.8,92.2,13.8,13.75
11.8,88.2,15.8,3.85
13.4,86.6,19.3,10.9
8.1,91.9,16.1,12.2
11.0,89.0,18.7,12.95
14.7,85.3,13.4,15.4
9.3,90.7,25.0,6.6
15.1,84.9,16.6,13.85
10.9,89.1,17.3,11.9
11.5,88.5,17.6,21.65
13.4,86.6,15.6,12.55
14.7,85.3,15.7,12.55
8.8,91.2,22.9,9.55
8.0,92.0,22.3,6.05
7.2,92.8,28.8,8.35
14.4,85.6,22.9,12.25
12.6,87.4,17.4,9.1
12.8,87.2,20.9,5.15
12.7,87.3,16.9,11.45
18.2,81.8,16.4,28.25
24.9,75.1,15.9,15.2
8.6,91.4,29.0,7.55
10.9,89.1,21.5,10.2
10.2,89.8,16.5,8.6
7.0,93.0,17.9,7.5
5.9,94.1,25.1,5.95
4.3,95.7,19.8,2.85
8.2,91.8,15.8,13.65
10.9,89.1,19.5,14.45
10.3,89.7,13.2,10.95
11.7,88.3,16.8,22.5
7.9,92.1,32.0,8.75
9.6,90.4,18.3,10.25
8.8,91.2,15.7,10.35
6.2,93.8,23.5,6.45
10.5,89.5,15.1,14.2
10.8,89.2,14.6,10.5
10.5,89.5,22.6,16.9
6.5,93.5,27.1,9.4
10.3,89.7,16.4,6.4
26.8,73.2,12.7,12.65
13.6,86.4,15.7,7.8
9.3,90.7,18.0,11.55
25.7,74.3,10.8,8.85
8.6,91.4,36.5,9.95
24.5,75.5,14.7,9.2
9.6,90.4,18.2,7.35
14.2,85.8,13.0,10.3
15.2,84.8,17.3,7.9
10.0,90.0,35.8,8.4
8.3,91.7,25.9,9.45
8.2,91.8,17.6,9.6
11.8,88.2,16.3,12.45
6.5,93.5,19.8,4.95
13.5,86.5,16.3,9.25
9.9,90.1,19.1,11.15
11.2,88.8,20.2,7.85
10.7,89.3,13.8,9.2
5.6,94.4,16.4,8.5
4.9,95.1,17.3,4.3
9.7,90.3,12.5,11.85
17.4,82.6,16.3,8.3
5.7,94.3,21.8,8.2
9.4,90.6,16.9,7.95
13.5,86.5,16.6,6.05
12.0,88.0,13.7,7.95
11.8,88.2,16.1,11.35
5.1,94.9,22.1,12.35
9.1,90.9,13.9,10.9
10.3,89.7,14.7,14.05
17.7,82.3,11.8,11.5
7.3,92.7,25.0,6.45
12.0,88.0,19.5,6.55
9.0,91.0,14.0,26.6
12.4,87.6,19.8,8.85
11.8,88.2,17.5,14.35
6.9,93.1,35.3,6.75
8.0,92.0,19.0,7.5
3.0,97.0,18.8,10.0
7.4,92.6,10.0,10.1
13.3,86.7,24.3,5.2
13.9,86.1,20.0,11.0
9.7,90.3,13.5,4.25
13.9,86.1,21.0,10.25
14.8,85.2,11.6,14.2
10.4,89.6,23.0,11.75
9.5,90.5,12.4,5.25
12.2,87.8,21.5,12.75
12.0,88.0,14.8,12.2
8.1,91.9,18.4,7.1
